# 简名 → 完整包路径对照表（写 import 时查这个）
# 共 9331 个简名，同名类用 | 分隔

AABB	net.minecraft.world.phys.AABB
AdventureModePredicate	net.minecraft.world.item.AdventureModePredicate
AgeableMob	net.minecraft.world.entity.AgeableMob
AgeableMob$AgeableMobGroupData	net.minecraft.world.entity.AgeableMob$AgeableMobGroupData
AgeableMobRenderer	net.minecraft.client.renderer.entity.AgeableMobRenderer
AgeableWaterCreature	net.minecraft.world.entity.animal.AgeableWaterCreature
AggregatedTelemetryEvent	net.minecraft.client.telemetry.events.AggregatedTelemetryEvent
AirAndWaterRandomPos	net.minecraft.world.entity.ai.util.AirAndWaterRandomPos
AirBlock	net.minecraft.world.level.block.AirBlock
AirItem	net.minecraft.world.item.AirItem
AirRandomPos	net.minecraft.world.entity.ai.util.AirRandomPos
AlertScreen	net.minecraft.client.gui.screens.AlertScreen
AllMissingGlyphProvider	net.minecraft.client.gui.font.AllMissingGlyphProvider
AllMissingGlyphProvider$1	net.minecraft.client.gui.font.AllMissingGlyphProvider$1
AllOf	net.minecraft.world.item.enchantment.effects.AllOf
AllOf$EntityEffects	net.minecraft.world.item.enchantment.effects.AllOf$EntityEffects
AllOf$LocationBasedEffects	net.minecraft.world.item.enchantment.effects.AllOf$LocationBasedEffects
AllOf$ValueEffects	net.minecraft.world.item.enchantment.effects.AllOf$ValueEffects
AllOfCondition	net.minecraft.world.level.storage.loot.predicates.AllOfCondition
AllOfCondition$Builder	net.minecraft.world.level.storage.loot.predicates.AllOfCondition$Builder
AllOfPredicate	net.minecraft.world.level.levelgen.blockpredicates.AllOfPredicate
Allay	net.minecraft.world.entity.animal.allay.Allay
Allay$JukeboxListener	net.minecraft.world.entity.animal.allay.Allay$JukeboxListener
Allay$VibrationUser	net.minecraft.world.entity.animal.allay.Allay$VibrationUser
AllayAi	net.minecraft.world.entity.animal.allay.AllayAi
AllayModel	net.minecraft.client.model.animal.allay.AllayModel
AllayRenderState	net.minecraft.client.renderer.entity.state.AllayRenderState
AllayRenderer	net.minecraft.client.renderer.entity.AllayRenderer
AllowedEntitiesProvider	net.minecraft.world.item.equipment.AllowedEntitiesProvider
AllowlistService	net.minecraft.server.jsonrpc.methods.AllowlistService
AlterGroundDecorator	net.minecraft.world.level.levelgen.feature.treedecorators.AlterGroundDecorator
AlternativesEntry	net.minecraft.world.level.storage.loot.entries.AlternativesEntry
AlternativesEntry$1	net.minecraft.world.level.storage.loot.entries.AlternativesEntry$1
AlternativesEntry$Builder	net.minecraft.world.level.storage.loot.entries.AlternativesEntry$Builder
AlwaysTrueTest	net.minecraft.world.level.levelgen.structure.templatesystem.AlwaysTrueTest
AmbientAdditionsSettings	net.minecraft.world.attribute.AmbientAdditionsSettings
AmbientCreature	net.minecraft.world.entity.ambient.AmbientCreature
AmbientDesertBlockSoundsPlayer	net.minecraft.world.level.block.sounds.AmbientDesertBlockSoundsPlayer
